Open,High,Low,Close,Volume
1667.166504,1671.770264,1616.391846,1631.645874,6926696531
1631.645264,1653.715454,1611.319092,1616.24707,6919871886
1616.009644,1673.797852,1614.863037,1672.00354,8030277434
1671.905273,1688.527222,1635.265015,1650.716797,7806089579
1651.082275,1655.234863,1537.182251,1546.438232,10524969124
1546.596558,1553.325684,1504.834473,1514.869141,8397387897
1514.941895,1541.334717,1510.146973,1539.926758,5064007416
1539.776001,1545.554199,1501.462036,1515.033691,5319698775
1514.916992,1524.731445,1470.023926,1507.165894,9363855114
1506.992065,1562.034302,1497.194458,1556.875122,9249575045
1556.765137,1674.289795,1545.689697,1673.745972,10015035156
1673.867432,1732.801147,1638.145508,1640.067627,12704861676
1640.280151,1716.78186,1636.173828,1694.783325,9802443159
1694.741821,1705.309082,1683.670166,1691.819458,5491437195
1691.680176,1718.947632,1673.906616,1681.436157,6959144003
1682.337036,1716.48938,1659.295044,1702.675171,7703604237
1702.797852,1714.285645,1642.396729,1658.036377,8721608198
1658.140991,1663.996826,1604.803345,1643.231689,9189387004
1643.298584,1674.601563,1632.566162,1651.073853,9013236167
1650.895142,1661.091309,1583.147827,1608.373169,8909129423
1608.658325,1608.865112,1567.631714,1594.914917,5657686235
1594.761108,1645.273438,1590.393066,1640.817139,5727967432
1640.763672,1662.575684,1615.387939,1634.326416,7239824677
1634.502441,1644.435791,1602.428101,1605.895142,6323676957
1606.040405,1663.433716,1601.548584,1663.433716,7701847224
1663.549072,1672.051147,1622.599976,1647.319336,7080950926
1647.557739,1648.475342,1552.451538,1569.167603,9922240199
1569.278076,1575.637207,1551.736816,1566.92395,4389045367
1567.179321,1584.208862,1559.954102,1564.46875,5020886238
1564.383179,1579.456299,1557.363525,1567.398682,5245153345
1567.424683,1579.162231,1543.127563,1561.933105,6854058349
1561.977905,1568.175293,1534.088257,1534.088257,7130327525
1534.031616,1544.108398,1423.264771,1438.660767,9457897583
1438.760132,1438.760132,1378.525391,1429.158081,12665194936
1429.10083,1484.136963,1428.723145,1482.616699,14917080154
1482.431885,1607.152588,1461.610962,1590.292969,11480965122
1590.831177,1699.911743,1572.074707,1680.30896,15711468959
1680.295288,1779.917847,1665.902344,1703.50708,16159781303
1705.189941,1721.079224,1616.630371,1656.180542,12715339905
1656.332031,1693.139282,1639.261719,1677.215454,9364980166
1677.296753,1799.343994,1667.131836,1792.485107,12467445117
1793.592407,1840.357544,1751.262817,1761.659668,10317822213
1762.963257,1843.844116,1762.963257,1785.576538,9170565472
1785.41626,1807.72522,1728.10376,1735.321289,10978325507
1735.61792,1836.288574,1725.007324,1806.760742,10758627746
1804.957031,1821.458252,1717.765137,1737.717041,12484103560
1737.140869,1853.888062,1732.524658,1816.405151,11012966854
1815.819824,1819.935303,1730.349487,1752.0448,10913669383
1751.469482,1762.674561,1716.651978,1743.764771,6614309912
1743.842163,1797.880249,1741.182861,1775.676758,6990313307
1775.481323,1781.379272,1690.516602,1715.460815,8585750760
1715.327393,1791.110962,1702.564697,1772.785645,8346890042
1772.899902,1825.600952,1772.899902,1793.001831,9136176952
1793.345947,1827.280273,1766.248901,1792.737183,9724496987
1793.620117,1844.677368,1783.142212,1822.022095,9149379763
1821.704346,1840.173096,1811.11853,1813.860596,5556443606
1821.192139,1824.328857,1774.872437,1795.70813,6199721188
1794.922485,1839.157837,1765.518921,1810.297119,9643826401
1810.14209,1886.594604,1802.955444,1871.005127,10398322335
1870.965088,1937.497559,1865.941895,1909.114014,10319231689
1909.143555,1909.271729,1857.085083,1872.922607,8263191830
1872.734131,1882.299194,1845.993896,1865.636108,8356130492
1864.679077,1879.107788,1848.875488,1849.498169,5016362733
1848.80542,1859.898682,1834.872803,1834.872803,4862885376
